literature,The Aeneid,/aeneid,gutenberg,poem
literature,Agamemnon,/agamemnon,gutenberg,play
literature,Henry IV Part 1,/henry-iv-part-1,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry IV Part 2,/henry-iv-part-2,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry V,/henry-v,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry VI Part 1,/henry-vi-part-1/,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry VI Part 2,/henry-vi-part-2/,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry VI Part 3,/henry-vi-part-3/,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Henry VIII,/henry-viii/,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,An Ideal Husband,/an-ideal-husband,gutenberg,play
literature,The Idiot,/the-idiot-dostoevsky,gutenberg,novel
literature,Idylls of the King,/idylls-of-the-king,gutenberg,poem
literature,The Iliad,/iliad,gutenberg,poem
literature,The Importance of Being Earnest,/importance-of-being-earnest,shmoop_free_plays,play
literature,Incidents in the Life of a Slave Girl,/incidents-life-slave-girl,gutenberg,novel
literature,Inferno,/inferno,gutenberg,poem
literature,The Metamorphoses,/metamorphoses,gutenberg,poem
literature,The Odyssey,/odyssey,gutenberg,poem
literature,Paradise Lost,/paradise-lost,gutenberg,poem
literature,Paradiso,/paradiso,gutenberg,poem
literature,Pericles,/pericles,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Purgatorio,/purgatorio,gutenberg,poem
literature,Pygmalion,/pygmalion,gutenberg,play
literature,Song of Roland,/song-of-roland,gutenberg,poem
literature,Sons and Lovers,/sons-and-lovers,shmoop_free_novels,novel
literature,The Spanish Tragedy,/the-spanish-tragedy,gutenberg,play
literature,A Tale of Two Cities,/tale-of-two-cities,shmoop_free_novels,novel
literature,The Taming of the Shrew,/taming-of-the-shrew,shmoop_free_shakespeare,shmoop_free_shakespeare
literature,Tartuffe,/tartuffe,gutenberg,play
literature,The Tempest,/tempest,shmoop_free_shakespeare,shmoop_free_shakespeare
